2019-05-24T21:34:36.781887  -  [DB] database returned None for page_id: José_María_Chacón, passage_idx: 0
2019-05-24T21:36:12.779725  -  [DB] database returned None for page_id: José_María_Chacón, passage_idx: 0
2019-05-24T21:36:13.066587  -  [DB] database returned None for page_id: Frédéric_Auguste_Bartholdi, passage_idx: 0
2019-05-24T21:36:15.023110  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 11
2019-05-24T21:36:15.024764  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 6
2019-05-24T21:36:15.026242  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 7
2019-05-24T21:36:15.027508  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 4
2019-05-24T21:36:15.028653  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 5
2019-05-24T21:36:15.029836  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 12
2019-05-24T21:36:15.030921  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 13
2019-05-24T21:36:15.031962  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 0
2019-05-24T21:36:15.032970  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 10
2019-05-24T21:36:15.034035  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 1
2019-05-24T21:36:15.311816  -  [DB] database returned None for page_id: 2011_Vuelta_a_España, passage_idx: 16
2019-05-24T21:36:15.585415  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:15.901367  -  [DB] database returned None for page_id: Ātman_-LRB-Hinduism-RRB-, passage_idx: 0
2019-05-24T21:36:15.936081  -  [DB] database returned None for page_id: Nord-du-Québec, passage_idx: 4
2019-05-24T21:36:16.022997  -  [DB] database returned None for page_id: Les_Misérables_-LRB-2012_film-RRB-, passage_idx: 0
2019-05-24T21:36:16.086024  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 20
2019-05-24T21:36:16.207569  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 13
2019-05-24T21:36:16.208965  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 9
2019-05-24T21:36:16.210217  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 0
2019-05-24T21:36:16.616108  -  [DB] database returned None for page_id: Supercopa_de_España, passage_idx: 0
2019-05-24T21:36:16.810354  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:19.076792  -  [DB] database returned None for page_id: Parti_Québécois, passage_idx: 0
2019-05-24T21:36:19.091304  -  [DB] database returned None for page_id: Nord-du-Québec, passage_idx: 0
2019-05-24T21:36:19.178466  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 0
2019-05-24T21:36:19.534117  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:19.583440  -  [DB] database returned None for page_id: Tré_Cool, passage_idx: 0
2019-05-24T21:36:19.620892  -  [DB] database returned None for page_id: Christine_Daaé, passage_idx: 0
2019-05-24T21:36:19.956651  -  [DB] database returned None for page_id: Penélope_Cruz, passage_idx: 0
2019-05-24T21:36:20.470107  -  [DB] database returned None for page_id: Frédéric_Auguste_Bartholdi, passage_idx: 0
2019-05-24T21:36:20.577382  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:21.011319  -  [DB] database returned None for page_id: José_María_Chacón, passage_idx: 1
2019-05-24T21:36:21.541197  -  [DB] database returned None for page_id: Sophia_Abrahão, passage_idx: 0
2019-05-24T21:36:22.028371  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 19
2019-05-24T21:36:22.181035  -  [DB] database returned None for page_id: El_Clásico, passage_idx: 6
2019-05-24T21:36:22.240860  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:22.347336  -  [DB] database returned None for page_id: Régine_Chassagne, passage_idx: 0
2019-05-24T21:36:22.644522  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:22.651640  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:22.681083  -  [DB] database returned None for page_id: Christine_Daaé, passage_idx: 0
2019-05-24T21:36:23.173170  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:23.688593  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:23.824391  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 19
2019-05-24T21:36:23.858396  -  [DB] database returned None for page_id: Battle_of_São_Mamede, passage_idx: 0
2019-05-24T21:36:24.178781  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 7
2019-05-24T21:36:24.179700  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 0
2019-05-24T21:36:24.759161  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 0
2019-05-24T21:36:25.119472  -  [DB] database returned None for page_id: Night_Attack_at_Târgovişte, passage_idx: 0
2019-05-24T21:36:25.175924  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:25.177028  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 3
2019-05-24T21:36:25.682890  -  [DB] database returned None for page_id: Penélope_Cruz, passage_idx: 0
2019-05-24T21:36:26.095574  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:26.106540  -  [DB] database returned None for page_id: Thénardiers, passage_idx: 0
2019-05-24T21:36:26.183267  -  [DB] database returned None for page_id: Frédéric_Auguste_Bartholdi, passage_idx: 0
2019-05-24T21:36:26.488394  -  [DB] database returned None for page_id: L'Étoile_du_Nord, passage_idx: 1
2019-05-24T21:36:26.507215  -  [DB] database returned None for page_id: Chloë_Grace_Moretz, passage_idx: 0
2019-05-24T21:36:26.821070  -  [DB] database returned None for page_id: Régine_Chassagne, passage_idx: 0
2019-05-24T21:36:26.830722  -  [DB] database returned None for page_id: Thénardiers, passage_idx: 6
2019-05-24T21:36:26.832342  -  [DB] database returned None for page_id: Thénardiers, passage_idx: 0
2019-05-24T21:36:26.865809  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:27.329788  -  [DB] database returned None for page_id: Ātman_-LRB-Hinduism-RRB-, passage_idx: 0
2019-05-24T21:36:27.366037  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 9
2019-05-24T21:36:27.367373  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 3
2019-05-24T21:36:27.368623  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 8
2019-05-24T21:36:27.369801  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 2
2019-05-24T21:36:27.370852  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 15
2019-05-24T21:36:27.371761  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 1
2019-05-24T21:36:27.372631  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 14
2019-05-24T21:36:27.373648  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 0
2019-05-24T21:36:27.374624  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 13
2019-05-24T21:36:27.375562  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 7
2019-05-24T21:36:27.376402  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 6
2019-05-24T21:36:27.377219  -  [DB] database returned None for page_id: Daniela_Hantuchová, passage_idx: 19
2019-05-24T21:36:27.620063  -  [DB] database returned None for page_id: Frédéric_Auguste_Bartholdi, passage_idx: 0
2019-05-24T21:36:27.724430  -  [DB] database returned None for page_id: Zoë_Kravitz, passage_idx: 2
2019-05-24T21:36:28.138085  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 7
2019-05-24T21:36:28.140387  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 8
2019-05-24T21:36:28.489026  -  [DB] database returned None for page_id: Régine_Chassagne, passage_idx: 0
2019-05-24T21:36:28.791399  -  [DB] database returned None for page_id: Christine_Daaé, passage_idx: 0
2019-05-24T21:36:28.855972  -  [DB] database returned None for page_id: Christine_Daaé, passage_idx: 1
2019-05-24T21:36:28.856995  -  [DB] database returned None for page_id: Christine_Daaé, passage_idx: 0
2019-05-24T21:36:28.868643  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 19
2019-05-24T21:36:28.991787  -  [DB] database returned None for page_id: Charlotte_Brontë, passage_idx: 0
2019-05-24T21:36:29.245001  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:29.301180  -  [DB] database returned None for page_id: Peer_Åström, passage_idx: 2
2019-05-24T21:36:29.303047  -  [DB] database returned None for page_id: Peer_Åström, passage_idx: 13
2019-05-24T21:36:29.304683  -  [DB] database returned None for page_id: Peer_Åström, passage_idx: 16
2019-05-24T21:36:29.449408  -  [DB] database returned None for page_id: Peer_Åström, passage_idx: 2
2019-05-24T21:36:29.576894  -  [DB] database returned None for page_id: Ātman_-LRB-Hinduism-RRB-, passage_idx: 0
2019-05-24T21:36:29.605726  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:29.906156  -  [DB] database returned None for page_id: 1991_Soviet_coup_d'état_attempt, passage_idx: 1
2019-05-24T21:36:30.107443  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:30.197530  -  [DB] database returned None for page_id: Tré_Cool, passage_idx: 0
2019-05-24T21:36:30.292707  -  [DB] database returned None for page_id: Stellan_Skarsgård, passage_idx: 0
2019-05-24T21:36:30.540090  -  [DB] database returned None for page_id: El_Clásico, passage_idx: 0
2019-05-24T21:36:30.651071  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 3
2019-05-24T21:36:30.652374  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 2
2019-05-24T21:36:30.653492  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 1
2019-05-24T21:36:30.654468  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 0
2019-05-24T21:36:30.655405  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 8
2019-05-24T21:36:30.656331  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 5
2019-05-24T21:36:30.657218  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 4
2019-05-24T21:36:30.693892  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 0
2019-05-24T21:36:31.200735  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 0
2019-05-24T21:36:31.222071  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 7
2019-05-24T21:36:31.275996  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:31.539651  -  [DB] database returned None for page_id: Győr, passage_idx: 1
2019-05-24T21:36:31.900903  -  [DB] database returned None for page_id: Y_Tu_Mamá_También, passage_idx: 4
2019-05-24T21:36:32.060501  -  [DB] database returned None for page_id: Julio_Cortázar, passage_idx: 0
2019-05-24T21:36:32.064362  -  [DB] database returned None for page_id: Christine_Daaé, passage_idx: 0
2019-05-24T21:36:32.318612  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 20
2019-05-24T21:36:32.344847  -  [DB] database returned None for page_id: Ātman_-LRB-Hinduism-RRB-, passage_idx: 0
2019-05-24T21:36:32.401128  -  [DB] database returned None for page_id: Bessatsu_Shōnen_Magazine, passage_idx: 0
2019-05-24T21:36:32.438491  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 3
2019-05-24T21:36:32.439913  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 2
2019-05-24T21:36:32.441149  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 0
2019-05-24T21:36:32.442388  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 8
2019-05-24T21:36:32.444112  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 5
2019-05-24T21:36:32.445466  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 4
2019-05-24T21:36:32.575512  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 0
2019-05-24T21:36:32.576949  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:32.729810  -  [DB] database returned None for page_id: Christine_Daaé, passage_idx: 0
2019-05-24T21:36:32.852703  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:32.874340  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 0
2019-05-24T21:36:33.089027  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 1
2019-05-24T21:36:33.136458  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:33.137442  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 2
2019-05-24T21:36:33.222528  -  [DB] database returned None for page_id: Māui_-LRB-mythology-RRB-, passage_idx: 7
2019-05-24T21:36:33.229764  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 11
2019-05-24T21:36:33.231465  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 6
2019-05-24T21:36:33.232727  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 7
2019-05-24T21:36:33.234012  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 4
2019-05-24T21:36:33.235109  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 5
2019-05-24T21:36:33.236067  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 12
2019-05-24T21:36:33.236965  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 13
2019-05-24T21:36:33.237972  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 0
2019-05-24T21:36:33.238901  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 10
2019-05-24T21:36:33.239817  -  [DB] database returned None for page_id: Henri_Poincaré, passage_idx: 1
2019-05-24T21:36:33.314637  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:34.187946  -  [DB] database returned None for page_id: Frédéric_Auguste_Bartholdi, passage_idx: 0
2019-05-24T21:36:34.554650  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 4
2019-05-24T21:36:34.583639  -  [DB] database returned None for page_id: Yolanda_Saldívar, passage_idx: 0
2019-05-24T21:36:34.651137  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 0
2019-05-24T21:36:34.870786  -  [DB] database returned None for page_id: Charlotte_Brontë, passage_idx: 0
2019-05-24T21:36:35.259887  -  [DB] database returned None for page_id: José_María_Chacón, passage_idx: 4
2019-05-24T21:36:35.261159  -  [DB] database returned None for page_id: José_María_Chacón, passage_idx: 1
2019-05-24T21:36:35.262765  -  [DB] database returned None for page_id: José_María_Chacón, passage_idx: 0
2019-05-24T21:36:35.304798  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:35.600206  -  [DB] database returned None for page_id: Zlatan_Ibrahimović, passage_idx: 21
2019-05-24T21:36:35.821339  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 3
2019-05-24T21:36:35.822345  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 5
2019-05-24T21:36:35.823293  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 4
2019-05-24T21:36:35.824365  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 7
2019-05-24T21:36:35.826053  -  [DB] database returned None for page_id: Sofía_Vergara, passage_idx: 6
2019-05-24T21:36:35.899914  -  [DB] database returned None for page_id: Perla_Farías, passage_idx: 0
2019-05-24T21:36:35.930084  -  [DB] database returned None for page_id: Musée_National_d'Art_Moderne, passage_idx: 1
2019-05-24T21:36:36.832069  -  [DB] database returned None for page_id: Éomer, passage_idx: 0
2019-05-24T21:36:36.954179  -  [DB] database returned None for page_id: Přemyslid_dynasty, passage_idx: 0
2019-05-24T21:36:37.145258  -  [DB] database returned None for page_id: Grégory_Levasseur, passage_idx: 0
2019-05-24T21:36:37.152954  -  [DB] database returned None for page_id: Thénardiers, passage_idx: 0
2019-05-24T21:36:37.154053  -  [DB] database returned None for page_id: Thénardiers, passage_idx: 8
2019-05-24T21:36:37.291607  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:37.334354  -  [DB] database returned None for page_id: Alcázar_of_Seville, passage_idx: 0
2019-05-24T21:36:37.404512  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 18
2019-05-24T21:36:37.470220  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 0
2019-05-24T21:36:37.515856  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:37.537825  -  [DB] database returned None for page_id: Dohány_Street_Synagogue, passage_idx: 0
2019-05-24T21:36:37.788003  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:37.797868  -  [DB] database returned None for page_id: François_de_Belleforest, passage_idx: 9
2019-05-24T21:36:37.855446  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 20
2019-05-24T21:36:37.905606  -  [DB] database returned None for page_id: Citadelle_Laferrière, passage_idx: 0
2019-05-24T21:36:37.923368  -  [DB] database returned None for page_id: Frédéric_Auguste_Bartholdi, passage_idx: 0
2019-05-24T21:36:38.134702  -  [DB] database returned None for page_id: Musée_National_d'Art_Moderne, passage_idx: 1
2019-05-24T21:36:38.440123  -  [DB] database returned None for page_id: Beyoncé, passage_idx: 7
2019-05-24T21:36:39.015905  -  [DB] database returned None for page_id: François_Truffaut, passage_idx: 0
2019-05-24T21:36:39.219032  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 0
2019-05-24T21:36:39.944854  -  [DB] database returned None for page_id: Musée_National_d'Art_Moderne, passage_idx: 0
2019-05-24T21:36:39.999993  -  [DB] database returned None for page_id: Shōnen_manga, passage_idx: 3
2019-05-24T21:36:40.001955  -  [DB] database returned None for page_id: Shōnen_manga, passage_idx: 0
2019-05-24T21:36:40.090293  -  [DB] database returned None for page_id: Jeroen_Krabbé, passage_idx: 0
2019-05-24T21:36:40.144416  -  [DB] database returned None for page_id: Thénardiers, passage_idx: 0
2019-05-24T21:36:40.145744  -  [DB] database returned None for page_id: Thénardiers, passage_idx: 6
2019-05-24T21:36:40.148401  -  [DB] database returned None for page_id: Thénardiers, passage_idx: 7
2019-05-24T21:36:40.149295  -  [DB] database returned None for page_id: Thénardiers, passage_idx: 4
2019-05-24T21:36:40.367553  -  [DB] database returned None for page_id: Árpád, passage_idx: 0
2019-05-24T21:36:40.427591  -  [DB] database returned None for page_id: José_Aldo, passage_idx: 4
2019-05-24T21:36:40.486334  -  [DB] database returned None for page_id: Alexander_Skarsgård, passage_idx: 5
2019-05-24T21:36:40.700221  -  [DB] database returned None for page_id: Sophia_Abrahão, passage_idx: 0
